file_path,coarse_class,original_path
coarse/Monitoring & Logging/Arch_AWS-X-Ray_64.png,Monitoring & Logging,Architecture-Service-Icons_02072025/Arch_Developer-Tools/64/Arch_AWS-X-Ray_64.svg
coarse/DevOps & Developer Tools/Arch_AWS-CodeDeploy_64.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Developer-Tools/64/Arch_AWS-CodeDeploy_64.svg
coarse/DevOps & Developer Tools/Arch_AWS-CodeCommit_64.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Developer-Tools/64/Arch_AWS-CodeCommit_64.svg
coarse/DevOps & Developer Tools/Arch_AWS-CodeBuild_64.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Developer-Tools/64/Arch_AWS-CodeBuild_64.svg
coarse/DevOps & Developer Tools/Arch_AWS-CodePipeline_64.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Developer-Tools/64/Arch_AWS-CodePipeline_64.svg
coarse/DevOps & Developer Tools/Arch_AWS-CodeArtifact_64.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Developer-Tools/64/Arch_AWS-CodeArtifact_64.svg
coarse/Monitoring & Logging/Arch_AWS-X-Ray_16.png,Monitoring & Logging,Architecture-Service-Icons_02072025/Arch_Developer-Tools/16/Arch_AWS-X-Ray_16.svg
coarse/DevOps & Developer Tools/Arch_AWS-CodePipeline_16.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Developer-Tools/16/Arch_AWS-CodePipeline_16.svg
coarse/DevOps & Developer Tools/Arch_AWS-CodeArtifact_16.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Developer-Tools/16/Arch_AWS-CodeArtifact_16.svg
coarse/DevOps & Developer Tools/Arch_AWS-CodeBuild_16.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Developer-Tools/16/Arch_AWS-CodeBuild_16.svg
coarse/DevOps & Developer Tools/Arch_AWS-CodeDeploy_16.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Developer-Tools/16/Arch_AWS-CodeDeploy_16.svg
coarse/DevOps & Developer Tools/Arch_AWS-CodeCommit_16.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Developer-Tools/16/Arch_AWS-CodeCommit_16.svg
coarse/DevOps & Developer Tools/Arch_AWS-CodeCommit_32.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Developer-Tools/32/Arch_AWS-CodeCommit_32.svg
coarse/DevOps & Developer Tools/Arch_AWS-CodeArtifact_32.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Developer-Tools/32/Arch_AWS-CodeArtifact_32.svg
coarse/DevOps & Developer Tools/Arch_AWS-CodePipeline_32.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Developer-Tools/32/Arch_AWS-CodePipeline_32.svg
coarse/DevOps & Developer Tools/Arch_AWS-CodeBuild_32.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Developer-Tools/32/Arch_AWS-CodeBuild_32.svg
coarse/DevOps & Developer Tools/Arch_AWS-CodeDeploy_32.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Developer-Tools/32/Arch_AWS-CodeDeploy_32.svg
coarse/Monitoring & Logging/Arch_AWS-X-Ray_32.png,Monitoring & Logging,Architecture-Service-Icons_02072025/Arch_Developer-Tools/32/Arch_AWS-X-Ray_32.svg
coarse/DevOps & Developer Tools/Arch_AWS-CodeArtifact_48.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Developer-Tools/48/Arch_AWS-CodeArtifact_48.svg
coarse/Monitoring & Logging/Arch_AWS-X-Ray_48.png,Monitoring & Logging,Architecture-Service-Icons_02072025/Arch_Developer-Tools/48/Arch_AWS-X-Ray_48.svg
coarse/DevOps & Developer Tools/Arch_AWS-CodePipeline_48.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Developer-Tools/48/Arch_AWS-CodePipeline_48.svg
coarse/DevOps & Developer Tools/Arch_AWS-CodeDeploy_48.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Developer-Tools/48/Arch_AWS-CodeDeploy_48.svg
coarse/DevOps & Developer Tools/Arch_AWS-CodeBuild_48.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Developer-Tools/48/Arch_AWS-CodeBuild_48.svg
coarse/DevOps & Developer Tools/Arch_AWS-CodeCommit_48.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Developer-Tools/48/Arch_AWS-CodeCommit_48.svg
coarse/Application Integration/Arch_Amazon-API-Gateway_64.png,Application Integration,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/64/Arch_Amazon-API-Gateway_64.svg
coarse/Networking/Arch_AWS-Transit-Gateway_64.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/64/Arch_AWS-Transit-Gateway_64.svg
coarse/Networking/Arch_Amazon-VPC-Lattice_64.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/64/Arch_Amazon-VPC-Lattice_64.svg
coarse/Networking/Arch_AWS-Direct-Connect_64.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/64/Arch_AWS-Direct-Connect_64.svg
coarse/Networking/Arch_Elastic-Load-Balancing_64.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/64/Arch_Elastic-Load-Balancing_64.svg
coarse/Networking/Arch_AWS-Cloud-Map_64.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/64/Arch_AWS-Cloud-Map_64.svg
coarse/Networking/Arch_AWS-Global-Accelerator_64.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/64/Arch_AWS-Global-Accelerator_64.svg
coarse/Networking/Arch_Amazon-Route-53_64.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/64/Arch_Amazon-Route-53_64.svg
coarse/Application Integration/Arch_AWS-App-Mesh_64.png,Application Integration,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/64/Arch_AWS-App-Mesh_64.svg
coarse/Networking/Arch_AWS-Transit-Gateway_16.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/16/Arch_AWS-Transit-Gateway_16.svg
coarse/Networking/Arch_Amazon-Route-53_16.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/16/Arch_Amazon-Route-53_16.svg
coarse/Networking/Arch_Elastic-Load-Balancing_16.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/16/Arch_Elastic-Load-Balancing_16.svg
coarse/Application Integration/Arch_AWS-App-Mesh_16.png,Application Integration,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/16/Arch_AWS-App-Mesh_16.svg
coarse/Application Integration/Arch_Amazon-API-Gateway_16.png,Application Integration,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/16/Arch_Amazon-API-Gateway_16.svg
coarse/Networking/Arch_AWS-Direct-Connect_16.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/16/Arch_AWS-Direct-Connect_16.svg
coarse/Networking/Arch_AWS-Global-Accelerator_16.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/16/Arch_AWS-Global-Accelerator_16.svg
coarse/Networking/Arch_Amazon-VPC-Lattice_16.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/16/Arch_Amazon-VPC-Lattice_16.svg
coarse/Networking/Arch_AWS-Cloud-Map_16.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/16/Arch_AWS-Cloud-Map_16.svg
coarse/Networking/Arch_Amazon-Route-53_32.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/32/Arch_Amazon-Route-53_32.svg
coarse/Networking/Arch_AWS-Global-Accelerator_32.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/32/Arch_AWS-Global-Accelerator_32.svg
coarse/Networking/Arch_AWS-Transit-Gateway_32.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/32/Arch_AWS-Transit-Gateway_32.svg
coarse/Application Integration/Arch_AWS-App-Mesh_32.png,Application Integration,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/32/Arch_AWS-App-Mesh_32.svg
coarse/Networking/Arch_Amazon-VPC-Lattice_32.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/32/Arch_Amazon-VPC-Lattice_32.svg
coarse/Networking/Arch_AWS-Direct-Connect_32.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/32/Arch_AWS-Direct-Connect_32.svg
coarse/Networking/Arch_Elastic-Load-Balancing_32.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/32/Arch_Elastic-Load-Balancing_32.svg
coarse/Networking/Arch_AWS-Cloud-Map_32.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/32/Arch_AWS-Cloud-Map_32.svg
coarse/Application Integration/Arch_Amazon-API-Gateway_32.png,Application Integration,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/32/Arch_Amazon-API-Gateway_32.svg
coarse/Networking/Arch_AWS-Transit-Gateway_48.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/48/Arch_AWS-Transit-Gateway_48.svg
coarse/Application Integration/Arch_AWS-App-Mesh_48.png,Application Integration,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/48/Arch_AWS-App-Mesh_48.svg
coarse/Networking/Arch_AWS-Cloud-Map_48.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/48/Arch_AWS-Cloud-Map_48.svg
coarse/Networking/Arch_Amazon-VPC-Lattice_48.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/48/Arch_Amazon-VPC-Lattice_48.svg
coarse/Application Integration/Arch_Amazon-API-Gateway_48.png,Application Integration,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/48/Arch_Amazon-API-Gateway_48.svg
coarse/Networking/Arch_AWS-Global-Accelerator_48.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/48/Arch_AWS-Global-Accelerator_48.svg
coarse/Networking/Arch_AWS-Direct-Connect_48.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/48/Arch_AWS-Direct-Connect_48.svg
coarse/Networking/Arch_Amazon-Route-53_48.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/48/Arch_Amazon-Route-53_48.svg
coarse/Networking/Arch_Elastic-Load-Balancing_48.png,Networking,Architecture-Service-Icons_02072025/Arch_Networking-Content-Delivery/48/Arch_Elastic-Load-Balancing_48.svg
coarse/Containers & Orchestration/Arch_Amazon-ECS-Anywhere_64.png,Containers & Orchestration,Architecture-Service-Icons_02072025/Arch_Containers/64/Arch_Amazon-ECS-Anywhere_64.svg
coarse/Containers & Orchestration/Arch_Amazon-EKS-Cloud_64.png,Containers & Orchestration,Architecture-Service-Icons_02072025/Arch_Containers/64/Arch_Amazon-EKS-Cloud_64.svg
coarse/Containers & Orchestration/Arch_Amazon-EKS-Anywhere_64.png,Containers & Orchestration,Architecture-Service-Icons_02072025/Arch_Containers/64/Arch_Amazon-EKS-Anywhere_64.svg
coarse/Containers & Orchestration/Arch_AWS-Fargate_64.png,Containers & Orchestration,Architecture-Service-Icons_02072025/Arch_Containers/64/Arch_AWS-Fargate_64.svg
