icon_type,file_path,file_name,stem,dir,candidate_name,canonical_service_name,coarse_class,service_code_mapped,matched
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Chatbot_16.svg,Arch_AWS-Chatbot_16.svg,Arch_AWS-Chatbot_16,16,Arch AWS Chatbot,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Control-Tower_16.svg,Arch_AWS-Control-Tower_16.svg,Arch_AWS-Control-Tower_16,16,Arch AWS Control Tower,aws control tower,Management & Governance,controltower,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-CloudFormation_16.svg,Arch_AWS-CloudFormation_16.svg,Arch_AWS-CloudFormation_16,16,Arch AWS CloudFormation,aws cloudformation,DevOps & Developer Tools,cloudformation,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_Amazon-Managed-Service-for-Prometheus_16.svg,Arch_Amazon-Managed-Service-for-Prometheus_16.svg,Arch_Amazon-Managed-Service-for-Prometheus_16,16,Arch Amazon Managed Service for Prometheus,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Resource-Explorer_16.svg,Arch_AWS-Resource-Explorer_16.svg,Arch_AWS-Resource-Explorer_16,16,Arch AWS Resource Explorer,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Telco-Network-Builder_16.svg,Arch_AWS-Telco-Network-Builder_16.svg,Arch_AWS-Telco-Network-Builder_16,16,Arch AWS Telco Network Builder,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Trusted-Advisor_16.svg,Arch_AWS-Trusted-Advisor_16.svg,Arch_AWS-Trusted-Advisor_16,16,Arch AWS Trusted Advisor,aws trusted advisor,Management & Governance,trustedadvisor,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Backint-Agent_16.svg,Arch_AWS-Backint-Agent_16.svg,Arch_AWS-Backint-Agent_16,16,Arch AWS Backint Agent,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Organizations_16.svg,Arch_AWS-Organizations_16.svg,Arch_AWS-Organizations_16,16,Arch AWS Organizations,aws organizations,Management & Governance,organizations,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Launch-Wizard_16.svg,Arch_AWS-Launch-Wizard_16.svg,Arch_AWS-Launch-Wizard_16,16,Arch AWS Launch Wizard,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_Amazon-Managed-Grafana_16.svg,Arch_Amazon-Managed-Grafana_16.svg,Arch_Amazon-Managed-Grafana_16,16,Arch Amazon Managed Grafana,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_Amazon-CloudWatch_16.svg,Arch_Amazon-CloudWatch_16.svg,Arch_Amazon-CloudWatch_16,16,Arch Amazon CloudWatch,amazon cloudwatch,Monitoring & Logging,cloudwatch,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Management-Console_16.svg,Arch_AWS-Management-Console_16.svg,Arch_AWS-Management-Console_16,16,Arch AWS Management Console,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-CloudTrail_16.svg,Arch_AWS-CloudTrail_16.svg,Arch_AWS-CloudTrail_16,16,Arch AWS CloudTrail,aws cloudtrail,Monitoring & Logging,cloudtrail,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Systems-Manager_16.svg,Arch_AWS-Systems-Manager_16.svg,Arch_AWS-Systems-Manager_16,16,Arch AWS Systems Manager,aws systems manager,Management & Governance,ssm,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Service-Catalog_16.svg,Arch_AWS-Service-Catalog_16.svg,Arch_AWS-Service-Catalog_16,16,Arch AWS Service Catalog,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Compute-Optimizer_16.svg,Arch_AWS-Compute-Optimizer_16.svg,Arch_AWS-Compute-Optimizer_16,16,Arch AWS Compute Optimizer,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Service-Catalog_32.svg,Arch_AWS-Service-Catalog_32.svg,Arch_AWS-Service-Catalog_32,32,Arch AWS Service Catalog,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_Amazon-CloudWatch_32.svg,Arch_Amazon-CloudWatch_32.svg,Arch_Amazon-CloudWatch_32,32,Arch Amazon CloudWatch,amazon cloudwatch,Monitoring & Logging,cloudwatch,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Systems-Manager_32.svg,Arch_AWS-Systems-Manager_32.svg,Arch_AWS-Systems-Manager_32,32,Arch AWS Systems Manager,aws systems manager,Management & Governance,ssm,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Organizations_32.svg,Arch_AWS-Organizations_32.svg,Arch_AWS-Organizations_32,32,Arch AWS Organizations,aws organizations,Management & Governance,organizations,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Application-Auto-Scaling_32.svg,Arch_AWS-Application-Auto-Scaling_32.svg,Arch_AWS-Application-Auto-Scaling_32,32,Arch AWS Application Auto Scaling,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Launch-Wizard_32.svg,Arch_AWS-Launch-Wizard_32.svg,Arch_AWS-Launch-Wizard_32,32,Arch AWS Launch Wizard,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Resilience-Hub_32.svg,Arch_AWS-Resilience-Hub_32.svg,Arch_AWS-Resilience-Hub_32,32,Arch AWS Resilience Hub,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-CloudFormation_32.svg,Arch_AWS-CloudFormation_32.svg,Arch_AWS-CloudFormation_32,32,Arch AWS CloudFormation,aws cloudformation,DevOps & Developer Tools,cloudformation,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-AppConfig_32.svg,Arch_AWS-AppConfig_32.svg,Arch_AWS-AppConfig_32,32,Arch AWS AppConfig,aws config,Management & Governance,config,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Proton_32.svg,Arch_AWS-Proton_32.svg,Arch_AWS-Proton_32,32,Arch AWS Proton,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Resource-Explorer_32.svg,Arch_AWS-Resource-Explorer_32.svg,Arch_AWS-Resource-Explorer_32,32,Arch AWS Resource Explorer,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Config_32.svg,Arch_AWS-Config_32.svg,Arch_AWS-Config_32,32,Arch AWS Config,aws config,Management & Governance,config,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Console-Mobile-Application_32.svg,Arch_AWS-Console-Mobile-Application_32.svg,Arch_AWS-Console-Mobile-Application_32,32,Arch AWS Console Mobile Application,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_Amazon-Managed-Grafana_32.svg,Arch_Amazon-Managed-Grafana_32.svg,Arch_Amazon-Managed-Grafana_32,32,Arch Amazon Managed Grafana,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Well-Architected-Tool_32.svg,Arch_AWS-Well-Architected-Tool_32.svg,Arch_AWS-Well-Architected-Tool_32,32,Arch AWS Well Architected Tool,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Distro-for-OpenTelemetry_32.svg,Arch_AWS-Distro-for-OpenTelemetry_32.svg,Arch_AWS-Distro-for-OpenTelemetry_32,32,Arch AWS Distro for OpenTelemetry,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Management-Console_32.svg,Arch_AWS-Management-Console_32.svg,Arch_AWS-Management-Console_32,32,Arch AWS Management Console,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Health-Dashboard_32.svg,Arch_AWS-Health-Dashboard_32.svg,Arch_AWS-Health-Dashboard_32,32,Arch AWS Health Dashboard,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_Amazon-Managed-Service-for-Prometheus_32.svg,Arch_Amazon-Managed-Service-for-Prometheus_32.svg,Arch_Amazon-Managed-Service-for-Prometheus_32,32,Arch Amazon Managed Service for Prometheus,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Backint-Agent_32.svg,Arch_AWS-Backint-Agent_32.svg,Arch_AWS-Backint-Agent_32,32,Arch AWS Backint Agent,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Control-Tower_32.svg,Arch_AWS-Control-Tower_32.svg,Arch_AWS-Control-Tower_32,32,Arch AWS Control Tower,aws control tower,Management & Governance,controltower,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-CloudTrail_32.svg,Arch_AWS-CloudTrail_32.svg,Arch_AWS-CloudTrail_32,32,Arch AWS CloudTrail,aws cloudtrail,Monitoring & Logging,cloudtrail,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Chatbot_32.svg,Arch_AWS-Chatbot_32.svg,Arch_AWS-Chatbot_32,32,Arch AWS Chatbot,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Telco-Network-Builder_32.svg,Arch_AWS-Telco-Network-Builder_32.svg,Arch_AWS-Telco-Network-Builder_32,32,Arch AWS Telco Network Builder,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Auto-Scaling_32.svg,Arch_AWS-Auto-Scaling_32.svg,Arch_AWS-Auto-Scaling_32,32,Arch AWS Auto Scaling,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-User-Notifications_32.svg,Arch_AWS-User-Notifications_32.svg,Arch_AWS-User-Notifications_32,32,Arch AWS User Notifications,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Trusted-Advisor_32.svg,Arch_AWS-Trusted-Advisor_32.svg,Arch_AWS-Trusted-Advisor_32,32,Arch AWS Trusted Advisor,aws trusted advisor,Management & Governance,trustedadvisor,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Compute-Optimizer_32.svg,Arch_AWS-Compute-Optimizer_32.svg,Arch_AWS-Compute-Optimizer_32,32,Arch AWS Compute Optimizer,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-License-Manager_32.svg,Arch_AWS-License-Manager_32.svg,Arch_AWS-License-Manager_32,32,Arch AWS License Manager,aws license manager,Management & Governance,license-manager,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Service-Management-Connector_32.svg,Arch_AWS-Service-Management-Connector_32.svg,Arch_AWS-Service-Management-Connector_32,32,Arch AWS Service Management Connector,amazon connect,Business Applications,connect,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Service-Management-Connector_48.svg,Arch_AWS-Service-Management-Connector_48.svg,Arch_AWS-Service-Management-Connector_48,48,Arch AWS Service Management Connector,amazon connect,Business Applications,connect,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Management-Console_48.svg,Arch_AWS-Management-Console_48.svg,Arch_AWS-Management-Console_48,48,Arch AWS Management Console,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-AppConfig_48.svg,Arch_AWS-AppConfig_48.svg,Arch_AWS-AppConfig_48,48,Arch AWS AppConfig,aws config,Management & Governance,config,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-CloudTrail_48.svg,Arch_AWS-CloudTrail_48.svg,Arch_AWS-CloudTrail_48,48,Arch AWS CloudTrail,aws cloudtrail,Monitoring & Logging,cloudtrail,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Resource-Explorer_48.svg,Arch_AWS-Resource-Explorer_48.svg,Arch_AWS-Resource-Explorer_48,48,Arch AWS Resource Explorer,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Resilience-Hub_48.svg,Arch_AWS-Resilience-Hub_48.svg,Arch_AWS-Resilience-Hub_48,48,Arch AWS Resilience Hub,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Systems-Manager_48.svg,Arch_AWS-Systems-Manager_48.svg,Arch_AWS-Systems-Manager_48,48,Arch AWS Systems Manager,aws systems manager,Management & Governance,ssm,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Backint-Agent_48.svg,Arch_AWS-Backint-Agent_48.svg,Arch_AWS-Backint-Agent_48,48,Arch AWS Backint Agent,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Well-Architected-Tool_48.svg,Arch_AWS-Well-Architected-Tool_48.svg,Arch_AWS-Well-Architected-Tool_48,48,Arch AWS Well Architected Tool,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Service-Catalog_48.svg,Arch_AWS-Service-Catalog_48.svg,Arch_AWS-Service-Catalog_48,48,Arch AWS Service Catalog,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Telco-Network-Builder_48.svg,Arch_AWS-Telco-Network-Builder_48.svg,Arch_AWS-Telco-Network-Builder_48,48,Arch AWS Telco Network Builder,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Chatbot_48.svg,Arch_AWS-Chatbot_48.svg,Arch_AWS-Chatbot_48,48,Arch AWS Chatbot,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-License-Manager_48.svg,Arch_AWS-License-Manager_48.svg,Arch_AWS-License-Manager_48,48,Arch AWS License Manager,aws license manager,Management & Governance,license-manager,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-CloudFormation_48.svg,Arch_AWS-CloudFormation_48.svg,Arch_AWS-CloudFormation_48,48,Arch AWS CloudFormation,aws cloudformation,DevOps & Developer Tools,cloudformation,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Organizations_48.svg,Arch_AWS-Organizations_48.svg,Arch_AWS-Organizations_48,48,Arch AWS Organizations,aws organizations,Management & Governance,organizations,True
